symbol,date,open,high,low,close,volume,adjusted,Lag_1,Rolling_Mean_7,sma_20,sma_50,volatility,daily_return,symbol_encoded
AAPL,2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,135480400,72.79600524902344,0,0,0,0,0,0,1
AAPL,2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,146322800,72.08829498291016,72.79600524902344,0,0,0,0,-0.009721828329622206,1
AAPL,2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,118387200,72.66271209716797,72.08829498291016,0,0,0,0,0.007968243865304148,1
AAPL,2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.597503662109375,108872000,72.320953369140625,72.66271209716797,0,0,0,0,-0.004703357721775214,1
AAPL,2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,132079200,73.48433685302734,72.320953369140625,0,0,0,0,0.01608639584642324,1
AAPL,2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.407501220703125,170108400,75.04522705078125,73.48433685302734,0,0,0,0,0.021241127900164303,1
AAPL,2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,75.2148666381836,75.04522705078125,73.373199462890625,0,0,0,0.002260498023246127,1
AAPL,2020-01-13,77.910003662109375,79.26750183105469,77.7874984741211,79.23999786376953,121532000,76.82179260253906,75.2148666381836,73.94831194196429,0,0,0,0.02136447269241981,1
AAPL,2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,161954400,75.784454345703125,76.82179260253906,74.47633470807757,0,0,0,-0.013503176920160231,1
AAPL,2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,121923600,75.45967864990234,75.784454345703125,74.8759013584682,0,0,0,-0.00428551869383742,1
AAPL,2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,108829200,76.40492248535156,75.45967864990234,75.4593255179269,0,0,0,0.012526475759785605,1
AAPL,2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,137816400,77.25078582763672,76.40492248535156,75.9973896571568,0,0,0,0.01107079641952824,1
AAPL,2020-01-21,79.29750061035156,79.75499725341797,79,79.14250183105469,110843200,76.7272720336914,77.25078582763672,76.23768179757255,0,0,0,-0.006776808654262556,1
AAPL,2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,101832400,77.00116729736328,76.7272720336914,76.49286760602679,0,0,0,0.0035697250327315633,1
AAPL,2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,104472000,77.3719711303711,77.00116729736328,76.57146453857422,0,0,0,0.0048155611924147745,1
AAPL,2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,146537600,77.14900207519531,77.3719711303711,76.76639992850167,0,0,0,-0.0028817807265124618,1
AAPL,2020-01-27,77.51499938964844,77.94249725341797,76.220001220703125,77.23750305175781,161940000,74.88040924072266,77.14900207519531,76.68364715576172,0,0,0,-0.029405342563751047,1
AAPL,2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000,76.99872589111328,74.88040924072266,76.76847621372768,0,0,0,0.028289330572176086,1
AAPL,2020-01-29,81.11250305175781,81.9625015258789,80.345001220703125,81.08499908447266,216229200,78.61048889160156,76.99872589111328,76.9627195085798,0,0,0,0.02093233338389955,1
AAPL,2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.967498779296875,126743200,78.49658203125,78.61048889160156,77.2154780796596,75.62848243713378,0,2.0275787178665907,-0.0014490033322224205,1
AAPL,2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400,75.016143798828125,78.49658203125,76.93190329415458,75.73948936462402,0,1.922389063441429,-0.04433872332219879,1
AAPL,2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400,74.81011962890625,75.016143798828125,76.56592450823102,75.87558059692383,0,1.7377860345547467,-0.0027463977683840346,1
AAPL,2020-02-04,78.82749938964844,79.910003662109375,78.407501220703125,79.7125015258789,136616400,77.279876708984375,74.81011962890625,76.58462088448661,76.10643882751465,0,1.5888048944008715,0.03301367638936137,1
